Charge Number,Procedure Name,Procedure Code (CPT/HCPCS),Default Modifier,Gross Charge,Discounted Cash Charge ,Hospital Inpatient / Outpatient / Both
17000001,HB NURSERY ROOM & BOARD,,," $1,298.00 ", $752.84 ,Inpatient
17200001,HB PREEMIE ROOM & BOARD,,," $2,475.00 "," $1,435.50 ",Inpatient
11000001,HB PRIVATE ROOM AND BOARD (ONE BED),,," $2,035.00 "," $1,180.30 ",Inpatient
12000001,HB SEMI-PRIVATE ROOM AND BOARD (TWO BEDS),,," $2,035.00 "," $1,180.30 ",Inpatient
12200001,HB SEMI-PRIVATE ROOM AND BOARD OB,,," $1,749.00 "," $1,014.42 ",Inpatient
S0039250,( BACTRIM ) SULFAMETHOXAZOLE & TRIMETHOPRIM 10 ML,S0039,, $17.97 , $10.42 ,Both
84143,17-HYDROXYPREGNOLONE,84143,, $68.00 , $39.44 ,Both
91038,1HR UP TO 24HRS ESOPHAGEAL FUNCTION IMPEDANCE TEST,91038,TC," $1,399.00 ", $811.42 ,Both
A4435,1PC OST PCH DRAIN HGH OUTPUT,A4435,, $10.00 , $5.80 ,Both
76377,3D REND W/INTERP & RPT CT/MRI/US W/IMAGE POSTPROC,76377,TC, $128.00 , $74.24 ,Both
76376,3D RNDR I&R CT MRI US/OTH X REQ POSTPCX,76376,TC, $53.00 , $30.74 ,Both
J7042258,"5% DEXTROSE/NORMAL SALINE 500 ML=1UT, FAC FEE",J7042,, $3.32 , $1.93 ,Both
J7060258,"5% DEXTROSE/WATER, 500 ML = 1 UNIT, FAC FEE",J7060,, $5.02 , $2.91 ,Both
76519,A SCAN W/ IOL CALC BY ECHOGRAPHY BY ULTS,76519,TC, $143.00 , $82.94 ,Both
93657,ABLATE L/R ATRIAL FIBRIL W/ ISOLATED PULM VEIN,93657,," $1,627.00 ", $943.66 ,Both
M0037361,ACAPELLA DM PED / BLUE W/MOUTHPIECE,,, $651.00 , $377.58 ,Both
M0028308,ACAPELLA HI GLOW / GREEN W/MOUTHPIECE,,, $651.00 , $377.58 ,Both
J1120250,"ACETAZOLAMIDE SODIUM, UP TO 500 MG, FAC FEE",J1120,, $45.14 , $26.18 ,Both
82009,ACETONE KETONES BLOOD CHEMISTRY,82009,, $14.00 , $8.12 ,Both
82010,ACETONE KETONES BLOOD CHEMISTRY QUANT,82010,, $24.00 , $13.92 ,Both
82013,ACETYLCHOLINESTERASE,82013,, $37.00 , $21.46 ,Both
J0132636,ACETYLCYSTEINE  PER 100 MG,J0132,, $3.58 , $2.08 ,Both
J7608250,"ACETYLCYSTEINE, INHAL SOL, GM, FAC FEE",J7608,, $2.44 , $1.42 ,Both
82016,"ACLYCARNITINES, QUALITATIVE, EACH S",82016,, $49.00 , $28.42 ,Both
10040761,ACNE SURGERY,10040,, $298.00 , $172.84 ,Both
80402,ACTH STIMULATION PANEL FOR 21 HYDROXYLAS,80402,, $261.00 , $151.38 ,Both
80406,ACTH STIMULATION PANEL FOR 3 BETA HDRO,80406,, $235.00 , $136.30 ,Both
80400,ACTH STIMULATION PANEL FOR ADRENAL INSUF,80400,, $98.00 , $56.84 ,Both
M010699460,"ACTIS DUOFIX, FEM STEM, SZ 5, HIGH COLLAR (101012050)",C1776,," $1,983.15 "," $1,150.23 ",Both
M010700281,"ACTIS DUOFIX, FEM STEM, SZ 8, HIGH COLLAR (101012080)",C1776,," $1,983.15 "," $1,150.23 ",Both
M010689796,"ACTIS DUOFIX, FEM STEM, SZ 8, STD COLLAR (101011080)",C1776,," $1,983.15 "," $1,150.23 ",Both
M010687647,"ACTIS DUOFIX, STEM, FEM, SZ 3, STD COLLAR (101011030)",C1776,," $2,295.00 "," $1,331.10 ",Both
M010700529,"ACTIS DUOFIX, STEM, FEM, SZ 4, HIGH COLLAR (101012040)",C1776,," $2,295.00 "," $1,331.10 ",Both
M010687163,"ACTIS DUOFIX, STEM, FEM, SZ 4, STD COLLAR (101011040)",C1776,," $2,295.00 "," $1,331.10 ",Both
M010687164,"ACTIS DUOFIX, STEM, FEM, SZ 5, STD COLLAR (101011050)",C1776,," $2,295.00 "," $1,331.10 ",Both
M010700280,"ACTIS DUOFIX, STEM, FEM, SZ 6, HIGH COLLAR (101012060)",C1776,," $2,295.00 "," $1,331.10 ",Both
M010689306,"ACTIS DUOFIX, STEM, FEM, SZ 7, STD COLLAR (101011070)",C1776,," $2,295.00 "," $1,331.10 ",Both
85307,ACTIVE PROTEIN C (APC) RESISTANCE ASSAY,85307,, $46.00 , $26.68 ,Both
78278,ACUTE GI BLOOD LOSS IMAGING,78278,TC," $1,226.00 ", $711.08 ,Both
80074,ACUTE HEPATITIS PANEL,80074,, $143.00 , $82.94 ,Both
82017,"ACYLCARNITINES, QUANITATIVE, EACH SPEC.",82017,, $51.00 , $29.58 ,Both
PC105168,"ADAPTER, CELLULAR, LATITUDE 3G USB, F/ AT&T (6295)",,, $450.00 , $261.00 ,Both
82030,ADENOSINE 5'-MONOPHOSPHATE CYCLIC,82030,, $77.00 , $44.66 ,Both
PC104985,"ADHESIVE, SKIN, HISTOACRYL, 0.5ML (TS1050071FP)",,, $58.50 , $33.93 ,Both
82085,ADOLASE,82085,, $29.00 , $16.82 ,Both
78075,"ADRENAL IMAGING, CORTEX &/OR MEDULLA",78075,TC," $1,682.00 ", $975.56 ,Both
82024,ADRENOCORTICOTROPIC HORMONE ACTH,82024,, $116.00 , $67.28 ,Both
M010429954,"AEQUALIS ASCEND FLEX , TRAY, HUM, 0MM,1.5MM OFFST,REV(DWF510)",C1776,," $1,020.00 ", $591.60 ,Both
M010469454,"AEQUALIS ASCEND FLEX, HEAD, HUM, 41 X 15MM,LOW OFFSET(DWF041)",C1776,," $1,260.00 ", $730.80 ,Both
M010444572,"AEQUALIS ASCEND FLEX, HEAD, HUM, 43 X 16MM,LOW OFFSET(DWF043)",C1776,," $1,260.00 ", $730.80 ,Both
M010438636,"AEQUALIS ASCEND FLEX, HEAD, HUM, 46 X 17MM,4MM OFFSET(DWF146)",C1776,," $1,260.00 ", $730.80 ,Both
M010472006,"AEQUALIS ASCEND FLEX, HEAD, HUM, 46 X 17MM,LOW OFFSET(DWF046)",C1776,," $1,260.00 ", $730.80 ,Both
M010451357,"AEQUALIS ASCEND FLEX, HEAD, HUM, 48 X 18MM,4MM OFFSET(DWF148)",C1776,," $1,197.00 ", $694.26 ,Both
M010429851,"AEQUALIS ASCEND FLEX, INSERT, HUMERAL, 36 X 6MM, REV(DWF361B)",C1776,," $1,020.00 ", $591.60 ,Both
M010443324,"AEQUALIS ASCEND FLEX, INSERT, HUMERAL, 36 X 9MM, REV(DWF362B)",C1776,," $1,020.00 ", $591.60 ,Both
M010460201,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,LNG,4B DIA,132.5D(DWF614B)",C1776,," $2,457.00 "," $1,425.06 ",Both
M010473177,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,1C DIA,137.5D(DWF601C)",C1776,," $2,562.50 "," $1,486.25 ",Both
M010510243,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,2A,127.5D ANG(DWF602A)",C1776,," $2,562.50 "," $1,486.25 ",Both
M010444653,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,2B,132.5D ANG(DWF602B)",C1776,," $2,562.50 "," $1,486.25 ",Both
M010444651,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,2C DIA,137.5D(DWF602C)",C1776,," $2,562.50 "," $1,486.25 ",Both
M010429956,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,3A,127.5D ANG(DWF603A)",C1776,," $2,457.00 "," $1,425.06 ",Both
M010457390,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,3C,137.5D ANG(DWF603C)",C1776,," $2,457.00 "," $1,425.06 ",Both
M010429953,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,4B DIA,132.5D(DWF604B)",C1776,," $2,562.50 "," $1,486.25 ",Both
M010461717,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,4C DIA,137.5D(DWF604C)",C1776,," $2,562.50 "," $1,486.25 ",Both
M010458053,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,5C DIA,137.5D(DWF605C)",C1776,," $2,562.50 "," $1,486.25 ",Both
M010451356,"AEQUALIS ASCEND FLEX, STEM,HUM,PTC,STD,6C DIA,137.5D(DWF606C)",C1776,," $2,562.50 "," $1,486.25 ",Both
PC106915,"AEQUALIS FLEX RIVIVE, HUM, ASSEMBLY SCREW, SZ 0 (ARS655101)",C1713,," $2,319.30 "," $1,345.19 ",Both
M010732545,"AEQUALIS FLEX RIVIVE, HUM, DISTAL STEM, 11 X 90MM (ARS741802)",C1776,," $8,892.95 "," $5,157.91 ",Both
PC106913,"AEQUALIS FLEX RIVIVE, HUM, DISTAL STEM, 13 X 90MM (ARS741703)",C1776,," $9,880.80 "," $5,730.86 ",Both
M010722458,"AEQUALIS FLEX RIVIVE, HUM, LOCKING CAP (ARS655200)",C1776,," $1,122.80 ", $651.22 ,Both
M010732544,"AEQUALIS FLEX RIVIVE, HUM, PROX BODY, 11MM, STD (ARS741702)",C1776,," $9,880.80 "," $5,730.86 ",Both
PC106914,"AEQUALIS FLEX RIVIVE, HUM, PROX BODY, 13MM (ARS741803)",C1776,," $8,892.95 "," $5,157.91 ",Both
M010658460,"AEQUALIS PERFORM REV,GLENOID BASEPLT, 25MM, STD (DWJ401)",C1713,, $875.00 , $507.50 ,Both
PC106930,"AEQUALIS PERFORM+ REV,GLENOID BASPLT,1/2WEDG AUG,25MM(DWJ504)",C1776,," $1,694.25 ", $982.67 ,Both
M010659915,"AEQUALIS PERFORM+ REV,GLENOID BASPLT,FULWEDG AUG,25MM(DWJ505)",C1776,," $1,609.20 ", $933.34 ,Both
M010686934,"AEQUALIS PERFORM+,GLENOID, CORTILOC,MED,LT,25 DG(DWK404LA25S)",C1776,," $2,119.50 "," $1,229.31 ",Both
M010646796,"AEQUALIS PERFORM+,GLENOID, CORTILOC,MED,LT,35 DG(DWK404LA35S)",C1776,," $2,119.50 "," $1,229.31 ",Both
M010646681,"AEQUALIS PERFORM+,GLENOID, CORTILOC,MED,RT,25 DG(DWK404RA25S)",C1776,," $2,119.50 "," $1,229.31 ",Both
M010658555,"AEQUALIS PERFORM+,GLENOID, CORTILOC,MED,RT,35 DG(DWK404RA35S)",C1776,," $2,119.50 "," $1,229.31 ",Both
PC106632,"AEQUALIS PERFORM+,GLENOID, CORTILOC,SM,LT,25 DG(DWK403LA25S)",C1776,," $2,119.50 "," $1,229.31 ",Both
M010686931,"AEQUALIS PERFORM+,GLENOID, CORTILOC,SM,RT,25 DG(DWK403RA25S)",C1776,," $2,119.50 "," $1,229.31 ",Both
M010658427,"AEQUALIS REV II, GLENOID SPHERE, 36MM, STD (DWJ012)",C1776,," $1,620.00 ", $939.60 ,Both
M010211152,"AEQUALIS REV II, GLENOID SPHERE,36MM,CNTRD,25MM BSPLT(DWD180)",C1776,," $1,620.00 ", $939.60 ,Both
M010477774,"AEQUALIS REV II,GLENOID BASEPLT, 25 X 25MM, THRD POST(DWE725)",C1776,," $1,080.00 ", $626.40 ,Both
M010457871,"AEQUALIS REV II,GLENOID BASEPLT, 25 X 30MM, THRD POST(DWE730)",C1776,," $1,080.00 ", $626.40 ,Both
PC105877,"AEQUALIS, GLENOID, CORTILOC, AUG, LG, RT, 35 DEG(DWK405RA35S)",C1776,," $4,245.31 "," $2,462.28 ",Both
94664410,"AEROSOL/VAPOR INAHALTIONS INITIAL, FAC FEE",94664,, $314.00 , $182.12 ,Both
86000,AGGLUTININS FEBRILE ANTIGEN,86000,, $21.00 , $12.18 ,Both
94660410,"AIRWAY PRESSURE VENTILATION (CPAP), FAC FEE",94660,, $314.00 , $182.12 ,Both
M0030631,"AIRWAY, BERMAN,  SMALL ADULT, 80 MM DISP",,, $1.00 , $0.58 ,Both
M0030633,"AIRWAY, BERMAN, LRG ADULT, 100 MM DISP",,, $1.00 , $0.58 ,Both
M0030632,"AIRWAY, BERMAN, MED ADULT, 90MM, FAC FEE",,, $1.00 , $0.58 ,Both
M0030630,"AIRWAY, BERMAN, SMALL, CHILD  60 MM DISP",,, $1.00 , $0.58 ,Both
P9047,"ALBUMIN (HUMAN) 25%, PER 50 ML",P9047,, $177.00 , $102.66 ,Both
82040,ALBUMIN SERUM,82040,, $15.00 , $8.70 ,Both
82043,"ALBUMIN URINE (EG, MICROALBUMIN), QUANTITATIVE",82043,, $17.00 , $9.86 ,Both
82044,"ALBUMIN URINE (EG, MICROALBUMIN), SEMIQUANTITAT",82044,, $19.00 , $11.02 ,Both
82045,"ALBUMIN, ISCHEMIA MODIFIED",82045,, $102.00 , $59.16 ,Both
82042,"ALBUMIN; OTHER SOURCE, QUANTITATIVE, EA SPECIMEN",82042,, $23.00 , $13.34 ,Both
J7609250,"ALBUTEROL INHAL SOL COMPOUND, UNIT DOSE 1MG",J7609,, $0.14 , $0.08 ,Both
J7610,ALBUTEROL INHAL SOLN/CMPD/CONCENTRATE 1MG,J7610,, $0.22 , $0.13 ,Both
J7609,ALBUTEROL INHAL SOLN/CMPD/UNIT DOSE 1MG,J7609,, $0.14 , $0.08 ,Both
J7610250,"ALBUTEROL INHALATION, COMPOUND, CONCENTRATE 1MG",J7610,, $0.22 , $0.13 ,Both
J7611250,"ALBUTEROL PER 1 MG, VIA NEBULIZER, CONC FORM (FAC)",J7611,, $0.69 , $0.40 ,Both
J7613250,"ALBUTEROL PER 1 MG, VIA NEBULIZER, UNIT DOSE (FAC)",J7613,, $0.09 , $0.05 ,Both
