 PROCEDURE DESCRIPTION , PRICE , REVENUE CODE , CPT CODE , ALTERNATE CPT HCPC , CPT HCPC MODIFIER 
CORONARY CARE UNIT - GENERAL," $9,500 ", 210 ,  ,  ,  
INTENSIVE CARE UNIT," $9,500 ", 200 ,  ,  ,  
LEAVE OF ABSENCE -  NO CHARGE, $-   , 180 ,  ,  ,  
LEAVE OF ABSENCE - W/CHARGE," $3,500 ", 180 ,  ,  ,  
MULTIBED STANDARD ( 3 - 4)," $3,000 ", 130 ,  ,  ,  
NURSERY, $650 , 170 ,  ,  ,  
NURSERY - NEWBORN LEVEL IV (NICU)," $10,000 ", 174 ,  ,  ,  
OBSERVATION PER HOUR IP," $1,312 ", 762 ,G0379,  ,  
PRIVATE," $4,000 ", 110 ,  ,  ,  
SEMI-PRIVATE," $3,500 ", 120 ,  ,  ,  
WARD," $2,500 ", 150 ,  ,  ,  
ADM/INTPRT HEALTH RISK INSTRMT, $200 , 510 ,99420,  ,  
CRITICAL CARE CONSTANT 30-74 MINS," $2,500 ", 450 ,99291,  ,  
CRITICAL CARE CONSTANT EA ADDL 30 MIN," $1,250 ", 450 ,99292,  ,  
ER VISIT BRIEF-LEVEL 1," $1,026 ", 450 ,99281,  ,  
ER VISIT COMPLEX-LEVEL 5," $1,826 ", 450 ,99285,  ,  
ER VISIT EXTENDED-LEVEL 4," $1,626 ", 450 ,99284,  ,  
ER VISIT INTERM-LEVEL 3," $1,426 ", 450 ,99283,  ,  
ER VISIT LIMITED-LEVEL 2," $1,226 ", 450 ,99282,  ,  
INITL  PREVENTIVE  MED NEW PT 18-39YRS, $200 , 510 ,99385,  ,  
INITL PREVENTIVE  MED NEW PT 12-17YRS, $658 , 510 ,99384,  ,  
INITL PREVENTIVE  MED NEW PT 1-4YRS, $472 , 510 ,99382,  ,  
INITL PREVENTIVE  MED NEW PT 40-64YRS, $200 , 510 ,99386,  ,  
INITL PREVENTIVE MED NEW PT <1YR, $454 , 510 ,99381,  ,  
INITL PREVENTIVE MED NEW PT 5-11YRS, $549 , 510 ,99383,  ,  
INITL PREVENTIVE MED NEW PT 65+YRS, $200 , 510 ,99387,  ,  
OBSERVATION PER HOUR OP," $1,312 ", 762 ,G0379,  ,  
OUTPATIENT CONSULT LEVEL 01, $134 , 510 ,99241,  ,  
OUTPATIENT CONSULT LEVEL 02, $235 , 510 ,99242,  ,  
OUTPATIENT CONSULT LEVEL 03, $260 , 510 ,99243,  ,  
OUTPATIENT CONSULT LEVEL 04, $405 , 510 ,99244,  ,  
OUTPATIENT CONSULT LEVEL 05, $508 , 510 ,99245,  ,  
OUTPATIENT ESTABLISH PATIENT VISIT - LEVEL 01," $1,026 ", 510 ,99211, G0463 ,  
OUTPATIENT ESTABLISH PATIENT VISIT - LEVEL 02," $1,226 ", 510 ,99212, G0463 ,  
OUTPATIENT ESTABLISH PATIENT VISIT - LEVEL 03," $1,426 ", 510 ,99213, G0463 ,  
OUTPATIENT ESTABLISH PATIENT VISIT - LEVEL 04," $1,626 ", 510 ,99214, G0463 ,  
OUTPATIENT ESTABLISH PATIENT VISIT - LEVEL 05," $1,826 ", 510 ,99215, G0463 ,  
OUTPATIENT NEW PATIENT VISIT - LEVEL 01," $1,026 ", 510 ,99201, G0463 ,  
OUTPATIENT NEW PATIENT VISIT - LEVEL 02," $1,226 ", 510 ,99202, G0463 ,  
OUTPATIENT NEW PATIENT VISIT - LEVEL 03," $1,426 ", 510 ,99203, G0463 ,  
OUTPATIENT NEW PATIENT VISIT - LEVEL 04," $1,626 ", 510 ,99204, G0463 ,  
OUTPATIENT NEW PATIENT VISIT - LEVEL 05," $1,826 ", 510 ,99205, G0463 ,  
PERIODIC   PREVENTIVE  MED EST PT 1-4YRS, $374 , 510 ,99392,  ,  
PERIODIC   PREVENTIVE MED EST PT 18-39YRS, $240 , 510 ,99395,  ,  
PERIODIC  PREVENTIVE  MED EST PT <1YR, $347 , 510 ,99391,  ,  
PERIODIC  PREVENTIVE  MED EST PT 12-17YRS, $549 , 510 ,99394,  ,  
PERIODIC  PREVENTIVE  MED EST PT 40-64YRS, $240 , 510 ,99396,  ,  
PERIODIC  PREVENTIVE  MED EST PT 65+YRS, $240 , 510 ,99397,  ,  
PERIODIC  PREVENTIVE MED EST PT 5-11YRS, $439 , 510 ,99393,  ,  
PHYS/QHP DIRECTION EMERGENCY MEDICAL SYSTEMS, $500 , 450 ,99288,  ,  
PREVENTIVE  MED COUNSELING GRP 30 MIN, $200 , 510 ,99411,  ,  
PREVENTIVE  MED COUNSELING GRP 60 MIN, $200 , 510 ,99412,  ,  
PREVENTIVE  MEDICINE COUNSEL 15 MIN, $72 , 510 ,99401,  ,  
