Procedure_Description,CPT_Code,Cash_Price,Gross_Price
All Inpatient Services for APRDRG-004-1,,,"$84,830.00 "
All Inpatient Services for APRDRG-004-2,,,"$109,184.00 "
All Inpatient Services for APRDRG-004-3,,,"$153,859.00 "
All Inpatient Services for APRDRG-004-4,,,"$251,000.00 "
All Inpatient Services for APRDRG-005-1,,,"$77,626.00 "
All Inpatient Services for APRDRG-005-2,,,"$82,889.00 "
All Inpatient Services for APRDRG-005-3,,,"$112,249.00 "
All Inpatient Services for APRDRG-005-4,,,"$177,639.00 "
All Inpatient Services for APRDRG-009-1,,,"$84,830.00 "
All Inpatient Services for APRDRG-009-2,,,"$109,184.00 "
All Inpatient Services for APRDRG-009-3,,,"$153,859.00 "
All Inpatient Services for APRDRG-009-4,,,"$246,009.00 "
All Inpatient Services for APRDRG-010-1,,,"$24,538.00 "
All Inpatient Services for APRDRG-010-2,,,"$31,583.00 "
All Inpatient Services for APRDRG-010-3,,,"$44,506.00 "
All Inpatient Services for APRDRG-010-4,,,"$173,080.00 "
All Inpatient Services for APRDRG-020-1,,,"$27,620.00 "
All Inpatient Services for APRDRG-020-2,,,"$36,412.00 "
All Inpatient Services for APRDRG-020-3,,,"$49,355.00 "
All Inpatient Services for APRDRG-020-4,,,"$113,049.00 "
All Inpatient Services for APRDRG-021-1,,,"$31,503.00 "
All Inpatient Services for APRDRG-021-2,,,"$40,736.00 "
All Inpatient Services for APRDRG-021-3,,,"$60,883.00 "
All Inpatient Services for APRDRG-021-4,,,"$115,051.00 "
All Inpatient Services for APRDRG-022-1,,,"$20,388.00 "
All Inpatient Services for APRDRG-022-2,,,"$23,993.00 "
All Inpatient Services for APRDRG-022-3,,,"$37,349.00 "
All Inpatient Services for APRDRG-022-4,,,"$91,676.00 "
All Inpatient Services for APRDRG-023-1,,,"$20,791.00 "
All Inpatient Services for APRDRG-023-2,,,"$29,539.00 "
All Inpatient Services for APRDRG-023-3,,,"$57,847.00 "
All Inpatient Services for APRDRG-023-4,,,"$115,398.00 "
All Inpatient Services for APRDRG-024-1,,,"$18,524.00 "
All Inpatient Services for APRDRG-024-2,,,"$23,640.00 "
All Inpatient Services for APRDRG-024-3,,,"$44,358.00 "
All Inpatient Services for APRDRG-024-4,,,"$97,157.00 "
All Inpatient Services for APRDRG-026-1,,,"$18,957.00 "
All Inpatient Services for APRDRG-026-2,,,"$25,423.00 "
All Inpatient Services for APRDRG-026-3,,,"$37,530.00 "
All Inpatient Services for APRDRG-026-4,,,"$79,244.00 "
All Inpatient Services for APRDRG-040-1,,,"$13,600.00 "
All Inpatient Services for APRDRG-040-2,,,"$16,154.00 "
All Inpatient Services for APRDRG-040-3,,,"$22,652.00 "
All Inpatient Services for APRDRG-040-4,,,"$55,387.00 "
All Inpatient Services for APRDRG-041-1,,,"$11,626.00 "
All Inpatient Services for APRDRG-041-2,,,"$12,176.00 "
All Inpatient Services for APRDRG-041-3,,,"$17,077.00 "
All Inpatient Services for APRDRG-041-4,,,"$30,072.00 "
All Inpatient Services for APRDRG-042-1,,,"$8,783.00 "
All Inpatient Services for APRDRG-042-2,,,"$12,553.00 "
All Inpatient Services for APRDRG-042-3,,,"$17,517.00 "
All Inpatient Services for APRDRG-042-4,,,"$45,916.00 "
All Inpatient Services for APRDRG-043-1,,,"$11,305.00 "
All Inpatient Services for APRDRG-043-2,,,"$14,486.00 "
All Inpatient Services for APRDRG-043-3,,,"$22,439.00 "
All Inpatient Services for APRDRG-043-4,,,"$53,671.00 "
All Inpatient Services for APRDRG-044-1,,,"$11,919.00 "
All Inpatient Services for APRDRG-044-2,,,"$15,951.00 "
All Inpatient Services for APRDRG-044-3,,,"$22,695.00 "
All Inpatient Services for APRDRG-044-4,,,"$48,802.00 "
All Inpatient Services for APRDRG-045-1,,,"$12,455.00 "
All Inpatient Services for APRDRG-045-2,,,"$14,949.00 "
All Inpatient Services for APRDRG-045-3,,,"$20,754.00 "
All Inpatient Services for APRDRG-045-4,,,"$45,760.00 "
All Inpatient Services for APRDRG-046-1,,,"$10,929.00 "
All Inpatient Services for APRDRG-046-2,,,"$12,940.00 "
