CPT_Code,Procedure_Description,Cash_Price,Gross_Price
Custom 360442132010,"Hc Surgery, Trauma Major I, Addl 30 Mins",3367.7,3367.7
CPT® 94667,Hc Post Drain & Percussion 30 Min,218.45,218.45
Custom 361442632011,"Hc Surgery, Minor I, C&g, Addl 30 Mins",2214.25,2214.25
Custom 361442632012,"Hc Surgery, Minor Ii, C&g, Addl 30 Mins",2367.25,2367.25
CPT® 80502,LAB PATHOLOGY CONSULT-COMPLETE,25.5,25.5
Custom 360442132013,"Hc Surgery, Major Iii, Addl 30 Mins",3581.9,3581.9
Custom 360442132011,"Hc Surgery, Major I, Addl 30 Mins",2856,2856
HCPCS E0676,SLEEVE COMPRESSION VASOPRESS LATEX FREE POLY FOAM TRICOT HIGH DENSITY PAIR CALF 20 TO 60MMHG UNIVERSAL MD 14 TO 15IN,46.053,46.053
HCPCS E0676,SLEEVE COMPRESSION VASOPRESS LATEX FREE POLY FOAM TRICOT HIGH DENSITY PAIR CALF 20-60MMHG UNIVERSAL LG 15-18IN,48.3905,48.3905
Custom 360442132012,"Hc Surgery, Major Ii, Addl 30 Mins",3221.5,3221.5
CPT® 76390,Hc Mri Spectroscopy,4794.85,4794.85
CPT® 73221,Hc Mri Wrist Right Wo/contrast,4856.05,4856.05
CPT® 73221,Hc Mri Elbow Right Wo/contrast,4856.05,4856.05
CPT® 73221,Hc Mri Shoulder Right Wo/contrast,4856.05,4856.05
CPT® 73220,Hc Mri Arm Rt Non Joint W&wo/cont,4856.05,4856.05
CPT® 73725,Hc Mra Leg Bilateral W Wo Contrast,4856.05,4856.05
CPT® 73223,Hc Mri Upper Extremity Any Joint W&wo Cont Bilat,5434.05,5434.05
CPT® 73218,Hc Mri Arm Non Joint Wo Con.right,4898.55,4898.55
CPT® 73725,Hc Mra Leg Bilateral W/o Contrast,4856.05,4856.05
CPT® 75557,Hc Mr Cardiac Wo/contrast,2860.25,2860.25
CPT® 74183,Hc Mri Abdomen W&wo/contrast,5446.8,5446.8
CPT® 74182,Hc Mri Abdomen W/contrast,5889.65,5889.65
CPT® 74181,Hc Mri Abdomen Wo/contrast,4856.05,4856.05
CPT® 77047,Hc Mri Breast Wo Contrast Bilateral,5979.75,5979.75
CPT® 73723,Hc Mri Leg Any Jnt W&wo/cont Lt,5434.05,5434.05
CPT® 73722,Hc Mri Leg Any Joint W/cont.left,5874.35,5874.35
CPT® 75561,Hc Mr Cardiac Wo/w Contrast,4062.15,4062.15
CPT® 73722,Hc Mri Leg Any Joint W/cont.right,5874.35,5874.35
CPT® 73722,Hc Mri Leg Any Joint W/cont Bilat,11746.15,11746.15
CPT® 73721,Hc Mri Leg Any Jnt Wo/cont Bilat,7284.5,7284.5
CPT® 75565,Hc Dph Mri Cardiac Flow Mapping,450.5,450.5
CPT® 73725,Hc Mra Lower Extremity Without Contrast Rt,4856.05,4856.05
CPT® 70336,Hc Dph Mri Temporomandibular Right,4856.05,4856.05
CPT® 70336,Hc Dph Mri Temporomandibular Left,4856.05,4856.05
CPT® 73223,Hc Mri Upper Extremity Any Joint W&wo Cont Right,5434.05,5434.05
CPT® 73723,Hc Mri Leg Any Jnt W&wo/cont Rt,5434.05,5434.05
CPT® 73723,Hc Mri Leg Any Jnt W&wo/cont Bilat,8151.5,8151.5
CPT® 73721,Hc Mri Leg Any Jnt Wo/cont Rt,4856.05,4856.05
CPT® 73720,Hc Mri Leg Rt Non Joint W&wo/cont,4856.05,4856.05
CPT® 73223,Hc Mri Upper Extremity Any Joint W&wo Cont Left,5434.05,5434.05
CPT® 73225,Hc Mra Arm Bilateral Wo Contrast,4856.05,4856.05
CPT® 73721,Hc Mri Leg Any Jnt Wo/cont Lt,4856.05,4856.05
CPT® 73225,Hc Mra Arm Bilateral W Wo Contrast,4856.05,4856.05
CPT® 73718,Hc Mri Leg N/joint Wo/cont.right,4898.55,4898.55
CPT® 73725,Hc Mra Lower Extremity Without Contrast Lt,4856.05,4856.05
CPT® 70552,Hc Mri Brain W Contrast,5825.05,5825.05
CPT® 73718,Hc Mri Leg N/joint Wo/cont.left,4898.55,4898.55
CPT® 72147,Hc Mri Thor Sp W Con,5825.05,5825.05
CPT® 72146,Hc Mri Thor Sp Wo Con,5391.55,5391.55
CPT® 72142,Hc Mri Cerv Sp W Con,5825.05,5825.05
CPT® 72141,Hc Mri Cerv Sp Wo Con,5391.55,5391.55
CPT® 71555,Hc Mra Chest,4856.05,4856.05
CPT® 71552,Hc Mri Chest W&wo/contrast,6286.6,6286.6
CPT® 72149,Hc Mri Lumb Sp W Con,5825.05,5825.05
CPT® 70553,Hc Mri Brain W/wo Contrast,5392.4,5392.4
CPT® 72156,Hc Mri Cerv Sp W&wo Contrast,5392.4,5392.4
CPT® 70551,Hc Mri Brain Wo Contrast,4856.05,4856.05
CPT® 70549,Hc Mra Neck W&wo/contrast,5496.1,5496.1
CPT® 70548,Hc Mra Neck W/contrast,4968.25,4968.25
CPT® 70547,Hc Mra Neck Wo/contrast,4968.25,4968.25
CPT® 70546,Hc Mra Head W&wo/contrast,4862.85,4862.85
