Last updated 1/4/2021 9:41:27 AM
Procedure ID,HCPCS/CPT Code,Description,Gross Charge,Undiscounted Cash Price
1,093924    ,DOP LE ART W/EXER BIL   ,614.76,614.76
2,07366050  ,XR TOE(S) 2 + V BI      ,349.39,349.39
3,073660RT  ,XR TOE(S) 2 + V RT      ,174.68,174.68
4,073660LT  ,XR TOE(S) 2 + V LT      ,174.68,174.68
704,          ,BARIUM LIQ 60% W/V 355ML,44.26,44.26
705,          ,SEALANT TISSUE CLOSURE D,2654.00,2654.00
706,          ,RELOAD STPLR 2X2.5X3MM  ,1558.00,1558.00
707,          ,GRAFT BN CANC 15ML 4-10M,857.00,857.00
709,0C1713    ,PLATE CSPN SPDR 3LV 56MM,5062.00,5062.00
710,0C1713    ,SCREW SPN RELNCE 7.5X45 ,3313.00,3313.00
714,          ,CLIP ENDO FLSH FLLPN 4MM,345.00,345.00
715,0C1726    ,BALLN HRCN RX 4X10X180  ,1974.00,1974.00
716,0C2625    ,STENT RX PRELOAD 7FR 7CM,511.00,511.00
717,0C2625    ,STENT RX PRELOAD 7FR 9CM,1236.00,1236.00
718,0C2625    ,STENT RX PRLOAD 7FR 12CM,511.00,511.00
719,0C2625    ,STENT RX PRLOAD 7FR 15CM,511.00,511.00
720,0C2625    ,STENT RX PRLOAD 10FR 5CM,511.00,511.00
721,0C2625    ,STENT RX PRLOAD 10FR 7CM,511.00,511.00
722,0C2625    ,STENT RX PRLOAD 10FR 9CM,511.00,511.00
723,0C2625    ,STENT RX PRLOAD 10F 12CM,511.00,511.00
724,0C1726    ,CATH ESPH PYL M00558660 ,1745.00,1745.00
725,0C1726    ,CATH ESPH PYL M00558670 ,1745.00,1745.00
726,0C1726    ,CATH ESPH PYL M00558680 ,1745.00,1745.00
727,0C1726    ,CATH ESPH PYL M00558690 ,1745.00,1745.00
728,0C1726    ,CATH ESPH PYL M00558700 ,1745.00,1745.00
729,0C1726    ,CATH ESPH PYL M00558710 ,1745.00,1745.00
731,          ,SNARE SNRMSTR.4MM 23CM  ,127.00,127.00
732,0C1725    ,CATH BIL BLN B-230Q-A   ,879.00,879.00
733,0C1725    ,CATH BLNDIL M00550600   ,1745.00,1745.00
736,          ,CATH IV SFSHLD YLW 24GA ,20.00,20.00
740,0C1769    ,GWIRE VASC .035IN 260CM ,141.00,141.00
744,0C1751    ,CATH PICC 2375355       ,936.00,936.00
745,          ,TRAY PROC HSG 5057      ,277.00,277.00
746,          ,CARTRIDGE CO2 DISP      ,131.00,131.00
747,          ,CUTTER ENDO AGRS+ 5MM   ,275.00,275.00
748,          ,ELECTRD ESURG MLTIVAC50D,1508.00,1508.00
749,          ,PCKNG WND 5YDX1IN GZIFRM,29.00,29.00
750,          ,PCKNG WND5YDX2IN CTNIFRM,40.00,40.00
751,          ,ELCTRD LOOP 10X10       ,145.00,145.00
752,          ,TROCAR ENDO 100MM 11MM  ,197.00,197.00
753,          ,BLADE  FULL RAD CT 2.5MM,532.00,532.00
754,          ,CUTTER ASCOPIC 3.5 FLRDS,532.00,532.00
755,0C1713    ,PLATE 7200019 ATL VISION,4601.00,4601.00
