Procedure ID,HCPCS/CPT Code,Description,Gross Charge,Undiscounted Cash Price
708,          ,SUT NURLN C4-0 RB1 C584D,142,142
8000,          ,REHAB ROOM              ,2535,2535
8001,          ,ROOM CHARGE ICU HOLD    ,5399,5399
8002,          ,ROOM CHARGE WP HOLD     ,2021,2021
8003,          ,ROOM CHARGE PCU HOLD    ,3435,3435
8004,          ,ROOM CHARGE MS HOLD     ,1953,1953
8005,          ,SC  BEHAVIORAL HLTH     ,4974,4974
8006,          ,ICU TRAUMA              ,6481,6481
8007,          ,ROOM CHARGE TELEMETRY   ,3435,3435
8008,          ,ROOM CHRG TELEMETRY SP  ,3435,3435
8009,          ,TELEMETRY ER HOLD       ,3435,3435
8010,          ,TRAUMA ICU ER HOLD      ,6481,6481
8011,          ,ROOM CHARGE ICU 607     ,5399,5399
8012,          ,ROOM CHARGE ICU 609     ,5399,5399
8013,          ,ROOM CHARGE PCU 609     ,3435,3435
8014,          ,ROOM CHARGE TELE 605    ,3435,3435
10051,          ,ROOM CHARGE 4W          ,1953,1953
10054,          ,OBSERVATION             ,132.73,132.73
10151,          ,ROOM CHARGE 5W          ,1953,1953
10201,          ,ROOM CHARGE 3W          ,1953,1953
10251,          ,ROOM CHARGE WP          ,2021,2021
10253,          ,ROOM CHARGE WP 120      ,2023,2023
10301,          ,ROOM CHARGE 3S          ,1953,1953
10303,          ,PROGRESSIVE CARE ROOM   ,3435,3435
10305,          ,ROOM CHARGE 2W          ,1953,1953
10353,          ,PROGRESSIVE CARE ROOM   ,3435,3435
10356,          ,INTENSIVE CARE ROOM     ,5399,5399
10765,          ,NURSERY                 ,2479,2479
10766,          ,NICU - LEVEL III        ,10031,10031
10767,          ,NICU - LEVEL I          ,6650,6650
10900,          ,INTENSIVE CARE UNIT HOLD,5399,5399
10902,          ,ROOM CHARGE WP HOLD     ,2021,2021
10903,          ,PROGRESSIVE CARE HOLD   ,3435,3435
10904,          ,ROOM CHARGE MS HOLD     ,1953,1953
10905,          ,WV ICU ER HOLD          ,5399,5399
10906,          ,WV LD ER HOLD           ,2021,2021
10907,          ,WV PCU ER HOLD          ,3435,3435
10908,          ,WV MED SURG ER HOLD     ,1953,1953
20100,0G0328    ,OCCLT BLD STL 1-3 IA CA ,108.16,108.16
20102,0C2631    ,LAURUS DRIVER 831-232   ,3558,3558
20103,80299,CLOMIPRAMINE ANAFRANL QN,64.83,64.83
20104,80171,GABAPENTIN NEURONTIN QN ,70.23,70.23
20105,80175,LAMOTRIGINE LAMICTAL QN ,449.72,449.72
20106,80299,TRAZADONE (DESYREL) QN  ,70.23,70.23
20108,80155,CAFFEINE QN             ,129.75,129.75
20119,          ,KIT EXP ON-Q PM020      ,1502,1502
20130,0C1874    ,STENT VIABAHN VB111002  ,40232,40232
20132,0C1751    ,CATH CV PICC 1LM 1.9FX50,1132,1132
20135,75635,CTA ABD AORTA IF LWEX RO,1847.85,1847.85
20136,          ,SUPP MAM W/CUPS SZ1     ,494,494
20137,0L8000    ,SUPP MAM W/CUPS SZ2     ,435,435
20138,0L8000    ,SUPP MAM W/CUPS SZ3     ,435,435
20139,          ,SUPP MAM W/CUPS SZ4     ,435,435
20140,          ,VEST SURG POST OP SZ5   ,435,435
20141,          ,ELECTRODE ESURG 90D BLDE,105,105
20153,          ,SHEARS HARMNC ACE14S    ,5459,5459
20155,          ,MANIPULATOR UTRN BLN TIP,758,758
20156,          ,CNNLA THFLX VR OL 34    ,813,813
20157,          ,CANNULA 16IN 36FR VNS   ,1141,1141
20168,0G0378    ,OBS PER HOUR            ,102.79,102.79
20169,0G0379    ,DIRECT REFERRAL TO OBS  ,102.79,102.79
20170,0G0378    ,OBS PER HOUR            ,102.79,102.79
20171,0G0379    ,DIRECT REFERRAL TO OBS  ,102.79,102.79
20172,0G0378    ,OBS PER HOUR            ,102.79,102.79
20173,0G0379    ,DIRECT REFERRAL TO OBS  ,102.79,102.79
20174,0G0378    ,OBS PER HOUR            ,102.79,102.79
20175,0G0379    ,DIRECT REFERRAL TO OBS  ,102.79,102.79
20176,0G0378    ,OBS PER HOUR            ,102.79,102.79
20177,0G0379    ,DIRECT REFERRAL TO OBS  ,102.79,102.79
20178,0G0378    ,OBS PER HOUR            ,170.93,170.93
20179,0G0379    ,DIRECT REFERRAL TO OBS  ,170.93,170.93
20180,0G0378    ,OBS PER HOUR            ,132.73,132.73
20181,0G0378    ,OBS PER HOUR            ,176.1,176.1
20189,88112,CYTO LIQUID BASE NON C/V,542.54,542.54
20190,          ,TOOL RASP XCUT TEAR SM  ,1959,1959
20193,0C1876    ,STENT COLON RECISION    ,6869.25,6869.25
20194,0C1781    ,MESH E/X 4X6 0123460    ,3892,3892
20202,83695,LIPOPROTEIN (A)         ,64.98,64.98
20203,80195,SIROLIMUS RAPAMUNE QN   ,385.53,385.53
20204,80299,FLUOXETINE PROZAC QN    ,313.68,313.68
20206,80299,CARISOPRODOL QN         ,112.36,112.36
20212,96372,INJECTION IM OR SQ      ,396.41,396.41
20218,96401,CHEMO SQ/IM NON HORM ANP,404.7,404.7
20219,96402,CHEMO SQ/IM HORMONL ANPL,398.23,398.23
20220,99202,OP VISIT LEVEL 2 NP     ,415,415
20225,96372,INJECTION IM OR SQ      ,218.35,218.35
20232,96372,INJECTION IM OR SQ      ,254.96,254.96
20239,96401,CHEMO SQ/IM NON HORM ANP,391.76,391.76
20240,96402,CHEMO SQ/IM HORMONL ANPL,391.76,391.76
20241,99211,OP VISIT LEVEL 1 EST    ,377.77,377.77
20245,82271,OCC BLD PEROX OTH SOURCE,81.14,81.14
20248,75571,CT HEART WO CN W QUAN CA,3251.81,3251.81
20256,99202,OP VISIT LEVEL 2 NP     ,377.77,377.77
20260,70543,MRI OR/FCE/NCK W&WO     ,5196.9,5196.9
20261,70542,MRI OR/FCE/NCK W/CONT   ,3807.9,3807.9
20276,          ,CLAMP MICROVASC TKSV2   ,1585,1585
20277,          ,CLIP HEMOSTATIC SF 2.6MM,150,150
20278,76376,3D CT/MRI/US/OTH NOT IND,194.51,194.51
20279,76377,3D CT/MRI/US/OTH IND    ,486.27,486.27
20280,76376,3D CT/MRI/US/OTH NOT IND,194.51,194.51
20281,76377,3D CT/MRI/US/OTH IND    ,486.27,486.27
20282,          ,CLMP SURG BIO 20GM/SQ MM,1109,1109
20283,90472,IMMUNIZ ADMIN EA ADDTL  ,158.39,158.39
20287,90471,IMMUNIZ ADMIN SGL       ,188.46,188.46
20295,          ,RETRCTR WND 5-9 MD      ,1585,1585
20296,72192,CT PELVIS W/O CONTRAST  ,965.07,965.07
20297,78999,UL MISC DX NUC MED      ,572.28,572.28
20303,83519,ACETYLCHOL RCPT AB MOD  ,229.06,229.06
20304,          ,BIOPSY MUSCLE DEEP      ,9740.05,9740.05
20305,          ,BIOPSY MUSCLE DEEP      ,10149.87,10149.87
20306,          ,ARTH JNT BRS INT WO US  ,1533.1,1533.1
20307,          ,ARTH JNT BRS INT WO US  ,1471.53,1471.53
20308,          ,TUBE TRACH 6.0 XLT PROX ,1585,1585
20309,          ,TUBE TRACH XLT PROX CUFD,1585,1585
20310,          ,TUBE TRACH 8MM XLT PROX ,1585,1585
20311,          ,TUBE INNR CANN 6 XLT ADJ,156,156
20313,          ,CANNULA INR 8X13.3X105MM,157,157
20314,          ,STAPLE CARTR ECR60G     ,2536,2536
20316,          ,SUTURE MNCRL 2-0 VIOL   ,64,64
20332,097760GP  ,ORTH MGT TRAIN EA 15M PT,152.78,152.78
20333,097760GO  ,ORTH MGT TRAIN EA 15M OT,152.78,152.78
20334,097761GP  ,PROST TRAINING EA 15M PT,150.52,150.52
20335,097761GO  ,PROST TRAINING EA 15M OT,150.52,150.52
20339,84443,TSH                     ,27.9,27.9
20346,          ,BRONCH TRANS BX SG LOBE ,6809.74,6809.74
20347,          ,BRONCH W/NDL ASP BX     ,6809.74,6809.74
20348,          ,BRONCH NDL ASP EA ADDL  ,6809.74,6809.74
20349,          ,BRONCH TRANS BX EA ADDL ,6809.74,6809.74
20350,          ,PROC TYPE 4 NON-GI      ,6809.74,6809.74
20351,          ,PROC TYPE 4 NON-GI BILAT,10211.43,10211.43
20352,          ,PROC TYPE 1 NON-GI      ,2666.99,2666.99
20354,          ,BX PLEURA PERC          ,4423.03,4423.03
20355,          ,PLEURODESIS CHEM        ,3444.17,3444.17
20376,0A9548    ,IN111 PENTETAT DX 0.5MCI,5198.72,5198.72
20377,0A9537    ,TC99M MEBROFEN DX 15MCI ,146,146
20378,0A9541    ,TC99M SULFUR CO DX 20MCI,423,423
20379,0A9566    ,TC99M FANOLESOM DX 25MCI,17210,17210
20380,0A9543    ,Y90 IBRITUM TIU TX 40MCI,148987,148987
20381,0A9547    ,IN111 OXYQUINO DX 0.5MCI,4777,4777
20383,0A9558    ,XENON XE133 GAS DX 10MCI,516.14,516.14
20384,0A9562    ,TC99M MERTIATID DX 15MCI,1623.24,1623.24
20385,0A9560    ,TC99M LABEL RBC DX 30MCI,631.52,631.52
20389,          ,TROCAR B8LT             ,1585,1585
20390,0C1887    ,CTHGD GLD 4F ST 65      ,1515,1515
20391,          ,CLIP FILSHIE LIGATION   ,1195,1195
20392,          ,REM SPINAL CANAL CATH   ,6557.05,6557.05
20394,0C1760    ,DEVICE CLSRE STARCLS 6FR,1901,1901
20395,70015,XR CISTERNOGRM PS CON   ,959.45,959.45
20397,96372,INJECTION IM OR SQ      ,176.84,176.84
20399,96372,INJECTION IM OR SQ      ,191.85,191.85
20402,          ,CATH AORTA              ,2971.19,2971.19
20403,          ,BX SFT TIS NCK/THORAX   ,10149.87,10149.87
20404,          ,BX SFT TIS NCK/THORAX   ,9740.05,9740.05
20405,          ,SHUNT 2.0MM IVS2030     ,1585,1585
