Procedure_Description,CPT_Code,Gross_Price,Cash_Price
FLOOR 1 NON-ACUTE AWL,-,$985.00 ,$492.50 
FLOOR 1 PRIVATE ROOM,-,"$1,182.00 ",$591.00 
FLOOR 1 SEMI PRIVATE,-,$985.00 ,$492.50 
MED-SURG BED PRIVATE,-,"$5,640.00 ","$2,820.00 "
MED-SURG BED SEMI-PRIVATE,-,"$4,700.00 ","$2,350.00 "
2AB ADMIN DAY,-,"$4,700.00 ","$2,350.00 "
FLOOR 2 PRIVATE ROOM,-,"$5,640.00 ","$2,820.00 "
IBUPROFEN 100MG/5 ML,Z7610,$4.61 ,$2.31 
IBUPROFEN 200MG,Z7610,$0.11 ,$0.06 
FLOOR 2 SEMI PRIVATE,-,"$4,700.00 ","$2,350.00 "
FLOOR 2 SEMI-PRIVATE,-,"$4,700.00 ","$2,350.00 "
IBUPROFEN TAB 400MG,Z7610,$4.22 ,$2.11 
IBUPROFEN800MG,Z7610,$4.38 ,$2.19 
IBUPROFIN 600MG,Z7610,$2.00 ,$1.00 
FLOOR 2 SEMI-PRIVATE,-,"$4,700.00 ","$2,350.00 "
FLOOR 3 PRIVATE ROOM,-,"$4,800.00 ","$2,400.00 "
IMMOBILIZER KNEE TRI-PANEL UN,Z7610,$31.82 ,$15.91 
INCREMENTING PROBE STD PRASS,Z7610,$635.00 ,$317.50 
INFUSION D-5-W 1000CC,Z7610,$3.00 ,$1.50 
INFUSION D-5-W 1000CC,Z7610,$3.00 ,$1.50 
INSTR ENDOSCOPIC UNIV 12MM,Z7610,$324.05 ,$162.03 
INSTRUMENT PURSTRING 65 DISP,Z7610,$208.78 ,$104.39 
INSULIN INJ,Z7610,$8.00 ,$4.00 
FLOOR 3 SEMI PRIVATE,-,"$4,000.00 ","$2,000.00 "
INTRODUCER/SHEATH,Z7610,$300.51 ,$150.26 
FLOOR 3 SEMI-PRIVATE,-,"$4,000.00 ","$2,000.00 "
ICU MED SURG,-,"$4,700.00 ","$2,350.00 "
IPRATROPIUM UNIT DOSE,Z7610,$5.32 ,$2.66 
IPRATROPIUM UNIT DOSE,Z7610,$5.32 ,$2.66 
ISONIAZID 300MG 1 TAB,Z7610,$4.34 ,$2.17 
ISONIAZID 300MG 30 TAB,Z7610,$4.34 ,$2.17 
ICU MED SURG,-,"$4,700.00 ","$2,350.00 "
ICU ROOM AND CARE,-,"$7,000.00 ","$3,500.00 "
SCU ROOM AND CARE,-,"$7,000.00 ","$3,500.00 "
SCU-MED SURG,-,"$4,700.00 ","$2,350.00 "
I-STAT CAUTERY,Z7610,$34.00 ,$17.00 
PFIZER ADMN 1ST DOSE COVID IZ,0001A,$17.00 ,$8.50 
JOINT IMPLANT DEVICE,Z7610,"$2,879.11 ","$1,439.56 "
PFIZER ADMN 2ND DOSE COVID IZ,0002A,$28.00 ,$14.00 
INTEGUMENTARY SYSTEM HEAD/GLA,100,$190.00 ,$95.00 
INTEGUMENTARY SYSTEM HEAD/GLA,100,$17.00 ,$8.50 
PF ANES BLEPHAROPLASTY,103,$248.00 ,$124.00 
ANES BLEPHAROPLASTY,103,$17.00 ,$8.50 
PF ANES ECT THRPY,104,$92.00 ,$46.00 
ANES ECT THRPY,104,$8.00 ,$4.00 
MODERNA ADMIN 1ST COVID IZ,0011A,$17.00 ,$8.50 
PF ANES EXT MID IN EAR INCL B,120,$190.00 ,$95.00 
ANES EXT MID INNER EAR INCL B,120,$17.00 ,$8.50 
"EXTERNAL,MIDDLE, INNER EAR PR",126,$152.00 ,$76.00 
MODERNA ADMIN 2ND COVID IZ,0012A,$28.00 ,$14.00 
PF ANES EYE NOS,140,$190.00 ,$95.00 
KETOROLAC TROMETHAMINE 60MG,Z7610,$14.00 ,$7.00 
KIT ABG,Z7610,$29.00 ,$14.50 
KIT CATHETER MULTI LUMEN 7 PI,Z7610,$882.59 ,$441.30 
KIT PERITONEAL CATH TWO CUFFS,Z7610,$369.29 ,$184.65 
KIT SUCTION WND CLS W/DRN,Z7610,$32.93 ,$16.47 
"KIT, CRICOTHYROTOMY",Z7610,$644.00 ,$322.00 
ANES EYE NOS,140,$17.00 ,$8.50 
KNEE POSITIONER / PAD/ WRAP,Z7610,$103.50 ,$51.75 
KNEE STEMMED TIBIAL COMPONENT,Z7610,"$3,060.00 ","$1,530.00 "
KNIFE CRESCENT ANGLED BEVEL D,Z7610,$73.35 ,$36.68 
K-WIRE DIAMOND PT 1280,Z7610,$7.26 ,$3.63 
PF ANES LENS SURGERY,142,$228.00 ,$114.00 
ANES LENS SURGERY,142,$13.00 ,$6.50 
PF ANES NOSE/SINUS NOS,160,$190.00 ,$95.00 
ANES NOSE/SINUS NOS,160,$17.00 ,$8.50 
PF ANES NOSE/SINUS W/BIOPSY,164,$152.00 ,$76.00 
NOSE & ACCESSORY SINUSES,164,$13.00 ,$6.50 
PF ANES INTRAORAL W/BIOPSY NO,170,$190.00 ,$95.00 
ANES INTRAORAL W/BIOPSY NOS,170,$17.00 ,$8.50 
PF ANES FACIAL BONES/SKULL NO,190,$190.00 ,$95.00 
ANES FACIAL BONES/SKULL NOS,190,$17.00 ,$8.50 
PF ANES INTRACRANIAL NOS,210,$417.00 ,$208.50 
ANES INTRACRANIAL NOS,210,$37.00 ,$18.50 
ANES CRAN SURG HEMOTOMA,211,$417.00 ,$208.50 
LATERA IMPLANT,Z7610,"$3,600.00 ","$1,800.00 "
LCP VOLAR COLUMN DISTAL RADIU,Z7610,"$2,612.16 ","$1,306.08 "
LEEP PROCEDURE REDIKIT COOPER,Z7610,$118.46 ,$59.23 
"LENS, MORGAN",Z7610,$145.00 ,$72.50 
PF ANES I/C BURR HOLES,214,$342.00 ,$171.00 
ANES I/C BURR HOLES,214,$30.00 ,$15.00 
ANES HEAD VESSEL SURGERY,216,$570.00 ,$285.00 
ANES CRAN SURG HEMOTOMA,216,$41.00 ,$20.50 
ASTRAZ ADMIN 1ST COVID IZ,0021A,$17.00 ,$8.50 
PF ANES SPINAL FLUID SHUNT,220,$380.00 ,$190.00 
ANES SPINAL FLUID SHUNT,220,$34.00 ,$17.00 
ASTRAZ ADMIN 2ND COVID IZ,0022A,$28.00 ,$14.00 
PF ANES H/N/T NOS,300,$190.00 ,$95.00 
ANES H/N/T NOS,300,$17.00 ,$8.50 
PF ESOPH THYROID NECK PROC,320,$228.00 ,$114.00 
ESOPHAGUS THYROID NECK PROCED,320,$20.00 ,$10.00 
"ESOPHAGUS,THYROID NECK PROCED",322,$10.00 ,$5.00 
PF ANES NECK VESSELS MAJOR NO,350,$380.00 ,$190.00 
ANES NECK VESSELS MAJOR NOS,350,$34.00 ,$17.00 
PF ANES NECK VESSELS LIG SMP,352,$190.00 ,$95.00 
MAJOR NECK VESSEL PROCEDURES,352,$17.00 ,$8.50 
PF ANES SKN LMB/TRNK PERINEUM,400,$114.00 ,$57.00 
ANES SKN LMB/TRNK PERINEUM,400,$10.00 ,$5.00 
PF ANES BREAST RECONSTRUCTION,402,$190.00 ,$95.00 
LIDOCAINE 1% PER ML,Z7610,$2.00 ,$1.00 
ANES BREAST RECONSTRUCTION,402,$17.00 ,$8.50 
PF ANES BREAST MOD/RAD,404,$190.00 ,$95.00 
ANES BREAST MOD/RAD,404,$17.00 ,$8.50 
LIDOCAINE 2% JELLY  30CC (XYL,Z7610,$43.34 ,$21.67 
ANES SURG OF BREAST RAD W/IMN,406,$493.00 ,$246.50 
INTEGUMENTARY SYSTEM ANTERIOR,406,$43.00 ,$21.50 
PF ANES ARRHYTHM CONVERSION,410,$152.00 ,$76.00 
LIDOCAINE 4% TOPICAL 50ML,Z7610,$23.00 ,$11.50 
LIDOCAINE 4% TOPICAL 50ML,Z7610,$28.32 ,$14.16 
ANES ARRHYTHM CONVERSION,410,$14.00 ,$7.00 
ANES ARRHYTHM CONVERSION,410,$152.00 ,$76.00 
PF ANES CLAVICLE/SCAPULA NOS,450,$190.00 ,$95.00 
ANES CLAVICLE/SCAPULA NOS,450,$17.00 ,$8.50 
