Itemcode,Description,CDM Revenue Code,CDM Hcpcs,CDM Modifier,Gross Charge,Cash Price,SHS OUTPATIENT [108130006],Note
45010213,HC ED EMERGENCY DEPT VISIT LEVEL IV CDM,450,99284,,"$1,981.00","$1,386.70",,
45010094,HC ED CRITICAL CARE FIRST HOUR CDM,450,99291,,"$4,112.00","$2,878.40",,
45010124,HC ED MHU CLASS I BRIEF CDM,450,99281,,$365.00,$255.50,,
45010127,HC ED MHU CLASS IV EXTENDED CDM,450,99284,,"$1,981.00","$1,386.70",,
45010210,HC ED EMERGENCY DEPT VISIT LEVEL III CDM,450,99283,,"$1,196.00",$837.20,,
45010019,HC ED INDUCTION OF VOMITING CDM,450,99175,,$251.00,$175.70,,
45010125,HC ED MHU CLASS II LIMITED CDM,450,99282,,$661.00,$462.70,,
45010204,HC ED EMERGENCY DEPT VISIT LEVEL I CDM,450,99281,,$365.00,$255.50,,
45010216,HC ED EMERGENCY DEPT VISIT LEVEL V CDM,450,99285,,"$2,909.00","$2,036.30",,
45010129,HC ED MHU CRITICAL CARE EA ADDL 30 MIN CDM,450,99292,,"$1,790.00","$1,253.00",,
45010126,HC ED MHU CLASS III-INTERMED CDM,450,99283,,"$1,196.00",$837.20,,
45010207,HC ED EMERGENCY DEPT VISIT LEVEL II CDM,450,99282,,$661.00,$462.70,,
45010221,HC ED CRITICAL CARE ADDL 30 MIN CDM,450,99292,,"$1,790.00","$1,253.00",,
45010130,HC ED SEXUAL ASSAULT EXAM CDM,450,99284,,"$1,981.00","$1,386.70",,
51010328,HC PREV VISIT EST AGE 40-64,510,99396,,,$0.00,,
51010331,HC PREVENTIVE COUNSELING INDIV 30 MIN,510,99402,,$255.00,$178.50,$228.00,
77010001,HC INITIAL PREVENTIVE EXAM G0402,770,G0402,,,$0.00,,
91410112,HC PSYCHOTHERAPY INDIVIDUAL 30 MN,914,90832,,$423.00,$296.10,,
91510098,HC HEALTH BEHAVIOR IVNTJ GROUP F2F EA ADDL 15 MIN CDM,915,96165,,$75.00,$52.50,,
92010038,HC CHOLINESTERASE CHALLENGE,920,95857,,"$1,410.00",$987.00,$769.00,
L_90010056,HB TERM HC HEALTH BEHAVIOR INTERVENTION EACH 15 MIN/FACE TO FACE,900,96152,,$154.65,$108.26,,**
36010965,HC NEWBORN RESUSCITATION,410,99465,,"$1,494.00","$1,045.80",,
36110270,HC INTERROG DEV EVAL WRLS CAR STIMULATOR IN PERSON,361,0521T,,$193.00,$135.10,$84.00,
39110030,HC CAR-T THERAPY AUTOLOGOUS CELL ADMINISTRATION,391,0540T,,"$2,109.00","$1,476.30","$1,199.00",
41210001,HC SURFACTANT ADMINISTRATION,412,94610,,$982.00,$687.40,$536.00,
42010008,HC BFB TRAING W/EMG AND /MANOMETRY 1ST 15 MIN CNTCT CDM,420,90912,,$776.00,$543.20,$423.00,
42010108,HC CANALITH REPOSITION PROC,420,95992,,$205.00,$143.50,$74.00,
48010076,HC ECHO INTRACARDIAC DURING INTERVENTION,480,93662,,"$6,473.00","$4,531.10","$2,662.00",
51010051,HC DOT PHYSICAL/VISION AGE 40-64,510,99386,,,$0.00,,
51010322,HC INIT PM E/M NEW PAT 65+ YRS,510,99387,,,$0.00,,
76110001,HC NEW PT VISIT - LEVEL 1,761,99201,,$157.00,$109.90,$125.00,
76110004,HC NEW PT VISIT - LEVEL 4,761,99204,,$283.00,$198.10,$225.00,
76110041,HC ESTAB PT VISIT - LEVEL 4,761,99214,,$251.00,$175.70,$200.00,
76110533,HC L&D TRIAGE LVL 3,761,99213,,$188.00,$131.60,$150.00,
76110551,HC L&D TRIAGE LVL 5,761,99215,,$345.00,$241.50,$275.00,
77010003,"HC PPPS, SUBSEQ VISIT G0439",770,G0439,,,$0.00,,
90010042,HC PSYCHIATRIC DIAGNOSTIC EVALUATION,900,90791,,$761.00,$532.70,$415.00,
90010045,HC PSYCHOTHERAPY PATIENT &/ FAMILY 60 MINUTES,900,90837,,$783.00,$548.10,,
90010086,HC HEALTH BEHAVIOR ASSESSMENT/RE-ASSESSMENT CDM,900,96156,,$150.00,$105.00,,
91610023,HC MULTIPLE FAMILY GROUP PSYTX 60 MIN,916,90849,,$783.00,$548.10,,
92010067,HC CONT REC MVMT DO 6 D <10 D DATA UPLOAD ANALYSIS INIT REPORT,920,0535T,,$206.00,$144.20,$116.00,
94010004,HC BEHAV CHNG SMOKING > 10 MIN,940,99407,,$153.00,$107.10,$84.00,
94810002,HC PULM REHAB W/EXERCISE,948,G0424,,$982.00,$687.40,$536.00,
36110271,HC PRGRMG DEVICE EVAL WRLS CAR STIMULATOR IN PERSON,361,0522T,,$206.00,$144.20,$116.00,
41910002,HC NEWBORN ATTENDANCE,722,99464,,$898.00,$628.60,,
76110002,HC NEW PT VISIT - LEVEL 2,761,99202,,$189.00,$132.30,$150.00,
76110005,HC NEW PT VISIT - LEVEL 5,761,99205,,$377.00,$263.90,$300.00,
76110134,HC LACTATION CONSULT LEVEL 1,761,99211,,$125.00,$87.50,$100.00,
76110507,HC L&D TRIAGE LVL 1,761,99211,,$125.00,$87.50,$100.00,
76110534,HC L&D TRIAGE LVL 4,761,99214,,$251.00,$175.70,$200.00,
90010036,HC PSYCHIATRIC DIAGNOSTIC EVAL W/MEDICAL SERVICES,900,90792,,$761.00,$532.70,$415.00,
90010043,HC PSYCHOTHERAPY PATIENT &/ FAMILY 30 MINUTES,900,90832,,$423.00,$296.10,,
91610043,HC HEALTH BEHAVIOR IVNTJ FAM W/PT F2F 1ST 30 MIN CDM,916,96167,,$150.00,$105.00,,
94010005,HC PERIPHERAL ARTERIAL DISEASE REHAB PER SESSION,940,93668,,$982.00,$687.40,$536.00,
94210089,HC MNT SUBS TX FOR CHANGE DX,942,G0270,,$164.00,$114.80,,
42010009,HC BFB TRAING W/EMG AND /MANOMETRY EA ADDL 15 MIN CNTCT CDM,420,90913,,$776.00,$543.20,$423.00,
51010326,HC PREV VISIT EST AGE 12-17,510,99394,,,$0.00,,
51010329,HC PER PM REEVAL EST PAT 65+ YR,510,99397,,,$0.00,,
51010524,HC HLTH RSK ASSESS PT FOCUSED,510,96160,,$153.00,$107.10,$84.00,
76110007,HC FACILITY ESTAB PT VISIT - LEVEL 1,761,99211,,$125.00,$87.50,,
90010087,HC HEALTH BEHAVIOR IVNTJ INDIV F2F 1ST 30 MIN CDM,900,96158,,$150.00,$105.00,,
94310001,HC CARDIAC REHAB NON MONITOR,943,93797,,$671.00,$469.70,$366.00,
44010074,"HC ASSESSMENT OF APHASIA, PER HOUR",444,96105,,$634.00,$443.80,$346.00,
51010332,HC PREVENTIVE COUNSELING INDIV 45 MIN,510,99403,,$353.00,$247.10,$315.00,
76110040,HC ESTAB PT VISIT - LEVEL 3,761,99213,,$188.00,$131.60,$150.00,
77010002,"HC PPPS, INITIAL VISIT G0438",770,G0438,,,$0.00,,
91510002,HC GROUP PSYCHOTHERAPY,915,90853,,$423.00,$296.10,,
91610012,HC FAMILY PSYTX W/PATIENT 60 MIN,916,90847,,$783.00,$548.10,,
91610044,HC HEALTH BEHAVIOR IVNTJ FAM W/PT F2F EA ADD 15 MIN CDM,916,96168,,$75.00,$52.50,,
94010003,HC BEHAV CHNG SMOKING 3-10 MIN,940,99406,,$153.00,$107.10,$84.00,
45010402,HC ED SERIAL TONOMETRY EXAM(S) CDM,450,92100,,$351.00,$245.70,,
51010045,HC DOT PHYSICAL/VISION AGE 18-39,510,99385,,,$0.00,,
51010533,HC SCREEN PELVIC/BREAST EXAM,510,G0101,,,$0.00,,
76110003,HC NEW PT VISIT - LEVEL 3,761,99203,,$220.00,$154.00,$175.00,
76110006,HC ESTAB PT VISIT - LEVEL 1,761,99211,,$125.00,$87.50,$100.00,
76110135,HC LACTATION CONSULT LEVEL 2,761,99212,,$157.00,$109.90,$125.00,
