PROC NAME,CPT CODE," MAIN
PRICE "
 ANCHOR CPS SHORT 14MM,," $2,926.10 "
 ANCHOR TENDON (8),, $832.50 
 AUG FEM CONE TRIATH TRI 1\T\2 R,," $12,916.00 "
 AUG FEM VG 360 UNV PST 80X10,," $2,600.70 "
 AUGMENT TIBIAL BMT 360 71X10,," $2,418.10 "
 AUGMENT TIBIAL BMT 360 75X10,," $2,548.20 "
 BASEPLATE TRIATH PKR SZ5 RM/LL,," $2,790.00 "
 BEARING TIB VG PS 10X71/75,," $1,767.00 "
 BRACE KNEE KHUL SHIELDS LARGE,, $256.60 
 BRACE KNEE KHUL SHIELDS MEDIUM,, $256.60 
 COIL MICRO DELTAMAXX 18 4X15,," $5,931.60 "
 COMP FEM VNGRD SSK 360 L 80MM,," $13,309.30 "
 COMP FEMORAL OX PRT KNEE SMLL,," $5,446.10 "
 FEMORAL GMRS PROXIMAL STD NEUT,," $12,702.90 "
 FEMORAL TRIATH PKR SZ 5 RM/LL,," $4,608.00 "
 GLENOSPHERE STANDARD 36MM,," $5,227.20 "
 GRAFT HEMASHLD PLATINUM 6X30,," $1,600.30 "
 HEAD C-TPR BIOLOX DLTA 28MM/+5,," $2,170.00 "
 HEAD FEM BILX DLT OP 36MM +3.5,," $5,299.20 "
 HEAD FEM BIOMOORE ENDO II 41MM,, $589.50 
 HEAD HUMERAL BF OFFSET 19X52MM,," $4,324.30 "
 INSERT TRDNT X3 ECCENT 10 32MM,," $2,786.90 "
 INSERT TRI PKR LM/RL SZ 5 9MM,," $2,945.00 "
 INSERT TRI PKR RM/LL SZ 5 9MM,," $2,945.00 "
 INSERT X3 NO 2 TRIATH TS 11MM,," $6,478.90 "
 INTERBODY LRDTC 28X36X13MM 15D,," $12,960.00 "
" KIT PINK HIP POSITIONR SMITH-NEPHW,ARTHRO PTS",," $1,170.00 "
 LINER E1 HI-WALL 32MM SZ B,," $2,483.10 "
 LINER G7 E1 NEUR +5MM 36MM E,," $3,950.50 "
 LINER G7 E1 NEUR +5MM 36MM G,," $3,950.50 "
 LINER G7 HI-WALL E1 40MM G 10 DEGREE,," $2,483.10 "
 LINER G7 HI-WALL E1 40MM I,," $2,483.10 "
 MESH 1.7MM DYNAM 90X90X.3MM,," $3,024.00 "
 MESH 1.7MM DYNAM 90X90X.6MM,," $3,556.80 "
 PHACO 0.7MM BNT DEWEY RED,, $455.00 
 PLATE 11 HL MAND 2.5MM PROF HT,," $8,000.60 "
 PLATE 17 HL MAND 2.5MM PROF HT,," $9,132.50 "
 PLATE 3D 6X2 CVD 1.5 PROFILE,," $1,485.00 "
 PLATE ANGLE FRACTURE 6 HL 115,," $1,826.40 "
 PLATE C-SHAPED FRACTURE 4 HOLE,," $1,180.20 "
 PLATE FRACTURE 4 HOLES,," $1,101.70 "
 PLATE FRACTURE 6 HOLES W/BAR,," $1,451.80 "
 PLATE MINI 16 HOLES,," $1,840.20 "
 PLATE MINI 4 HOLES WITH BAR,, $366.30 
 PLATE MINI 4-HOLE W/BAR 1.5MM,," $1,479.00 "
 PLATE MINI 6-HL W/BAR MAND LK,," $1,707.10 "
 PLATE MINI 6-HOLE 1.5MM,," $1,629.90 "
