,Airport_Code,Hospital_Name,Procedure_Description,Cash_Price,Gross_Price,CPT_Code,Number_Beds,For_Profit,Yearly_Discharges,Patient_Experience_Rating,Radiology_Category
11,SF,SF - Zuckerberg,Hc Mri Wrist Right Wo/contrast,4856.05,4856.05,73221,397,0,15244,3,MRI
12,SF,SF - Zuckerberg,Hc Mri Elbow Right Wo/contrast,4856.05,4856.05,73221,397,0,15244,3,MRI
13,SF,SF - Zuckerberg,Hc Mri Shoulder Right Wo/contrast,4856.05,4856.05,73221,397,0,15244,3,MRI
14,SF,SF - Zuckerberg,Hc Mri Arm Rt Non Joint W&wo/cont,4856.05,4856.05,73220,397,0,15244,3,MRI
15,SF,SF - Zuckerberg,Hc Mra Leg Bilateral W Wo Contrast,4856.05,4856.05,73725,397,0,15244,3,MRA
16,SF,SF - Zuckerberg,Hc Mri Upper Extremity Any Joint W&wo Cont Bilat,5434.05,5434.05,73223,397,0,15244,3,MRI
17,SF,SF - Zuckerberg,Hc Mri Arm Non Joint Wo Con.right,4898.55,4898.55,73218,397,0,15244,3,MRI
18,SF,SF - Zuckerberg,Hc Mra Leg Bilateral W/o Contrast,4856.05,4856.05,73725,397,0,15244,3,MRA
20,SF,SF - Zuckerberg,Hc Mri Abdomen W&wo/contrast,5446.8,5446.8,74183,397,0,15244,3,MRI
23,SF,SF - Zuckerberg,Hc Mri Breast Wo Contrast Bilateral,5979.75,5979.75,77047,397,0,15244,3,MRI
24,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt W&wo/cont Lt,5434.05,5434.05,73723,397,0,15244,3,MRI
29,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt Wo/cont Bilat,7284.5,7284.5,73721,397,0,15244,3,MRI
31,SF,SF - Zuckerberg,Hc Mra Lower Extremity Without Contrast Rt,4856.05,4856.05,73725,397,0,15244,3,MRA
32,SF,SF - Zuckerberg,Hc Dph Mri Temporomandibular Right,4856.05,4856.05,70336,397,0,15244,3,MRI
33,SF,SF - Zuckerberg,Hc Dph Mri Temporomandibular Left,4856.05,4856.05,70336,397,0,15244,3,MRI
34,SF,SF - Zuckerberg,Hc Mri Upper Extremity Any Joint W&wo Cont Right,5434.05,5434.05,73223,397,0,15244,3,MRI
35,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt W&wo/cont Rt,5434.05,5434.05,73723,397,0,15244,3,MRI
36,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt W&wo/cont Bilat,8151.5,8151.5,73723,397,0,15244,3,MRI
37,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt Wo/cont Rt,4856.05,4856.05,73721,397,0,15244,3,MRI
38,SF,SF - Zuckerberg,Hc Mri Leg Rt Non Joint W&wo/cont,4856.05,4856.05,73720,397,0,15244,3,MRI
39,SF,SF - Zuckerberg,Hc Mri Upper Extremity Any Joint W&wo Cont Left,5434.05,5434.05,73223,397,0,15244,3,MRI
40,SF,SF - Zuckerberg,Hc Mra Arm Bilateral Wo Contrast,4856.05,4856.05,73225,397,0,15244,3,MRA
41,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt Wo/cont Lt,4856.05,4856.05,73721,397,0,15244,3,MRI
42,SF,SF - Zuckerberg,Hc Mra Arm Bilateral W Wo Contrast,4856.05,4856.05,73225,397,0,15244,3,MRA
43,SF,SF - Zuckerberg,Hc Mri Leg N/joint Wo/cont.right,4898.55,4898.55,73718,397,0,15244,3,MRI
44,SF,SF - Zuckerberg,Hc Mra Lower Extremity Without Contrast Lt,4856.05,4856.05,73725,397,0,15244,3,MRA
46,SF,SF - Zuckerberg,Hc Mri Leg N/joint Wo/cont.left,4898.55,4898.55,73718,397,0,15244,3,MRI
48,SF,SF - Zuckerberg,Hc Mri Thor Sp Wo Con,5391.55,5391.55,72146,397,0,15244,3,MRI
50,SF,SF - Zuckerberg,Hc Mri Cerv Sp Wo Con,5391.55,5391.55,72141,397,0,15244,3,MRI
51,SF,SF - Zuckerberg,Hc Mra Chest,4856.05,4856.05,71555,397,0,15244,3,MRA
52,SF,SF - Zuckerberg,Hc Mri Chest W&wo/contrast,6286.6,6286.6,71552,397,0,15244,3,MRI
54,SF,SF - Zuckerberg,Hc Mri Brain W/wo Contrast,5392.4,5392.4,70553,397,0,15244,3,MRI
55,SF,SF - Zuckerberg,Hc Mri Cerv Sp W&wo Contrast,5392.4,5392.4,72156,397,0,15244,3,MRI
56,SF,SF - Zuckerberg,Hc Mri Brain Wo Contrast,4856.05,4856.05,70551,397,0,15244,3,MRI
57,SF,SF - Zuckerberg,Hc Mra Neck W&wo/contrast,5496.1,5496.1,70549,397,0,15244,3,MRA
58,SF,SF - Zuckerberg,Hc Mra Neck W/contrast,4968.25,4968.25,70548,397,0,15244,3,MRA
59,SF,SF - Zuckerberg,Hc Mra Neck Wo/contrast,4968.25,4968.25,70547,397,0,15244,3,MRA
60,SF,SF - Zuckerberg,Hc Mra Head W&wo/contrast,4862.85,4862.85,70546,397,0,15244,3,MRA
61,SF,SF - Zuckerberg,Hc Mra Head Wo/contrast,4856.05,4856.05,70544,397,0,15244,3,MRA
62,SF,SF - Zuckerberg,Hc Mri Neck W&wo/contrast,5434.05,5434.05,70543,397,0,15244,3,MRI
63,SF,SF - Zuckerberg,Hc Mri Face &/or Orbit W&wo/cont.,5434.05,5434.05,70543,397,0,15244,3,MRI
64,SF,SF - Zuckerberg,Hc Mri Chest Wo Contrast,4856.05,4856.05,71550,397,0,15244,3,MRI
65,SF,SF - Zuckerberg,Hc Mri Arm Non Joint Wo Cont.left,4898.55,4898.55,73218,397,0,15244,3,MRI
66,SF,SF - Zuckerberg,Hc Mri Leg W&wo/contrast Bilat,4856.05,4856.05,73720,397,0,15244,3,MRI
67,SF,SF - Zuckerberg,Hc Mri Brachial Plexus Wo&w/cont.,5070.25,5070.25,70543,397,0,15244,3,MRI
68,SF,SF - Zuckerberg,Hc Mri Leg Wo/contrast Bilat.,3807.15,3807.15,73718,397,0,15244,3,MRI
69,SF,SF - Zuckerberg,Hc Mri Wrist Left Wo/contrast,4856.05,4856.05,73221,397,0,15244,3,MRI
