,Airport_Code,Hospital_Name,Procedure_Description,Cash_Price,Gross_Price,CPT_Code,Number_Beds,For_Profit,Yearly_Discharges,Patient_Experience_Rating,Radiology_Category
0,SF,SF - Zuckerberg,Hc Mri Wrist Right Wo/contrast,4856.05,4856.05,73221,397,0,15244,3,MRI
1,SF,SF - Zuckerberg,Hc Mri Elbow Right Wo/contrast,4856.05,4856.05,73221,397,0,15244,3,MRI
2,SF,SF - Zuckerberg,Hc Mri Shoulder Right Wo/contrast,4856.05,4856.05,73221,397,0,15244,3,MRI
3,SF,SF - Zuckerberg,Hc Mri Arm Rt Non Joint W&wo/cont,4856.05,4856.05,73220,397,0,15244,3,MRI
4,SF,SF - Zuckerberg,Hc Mra Leg Bilateral W Wo Contrast,4856.05,4856.05,73725,397,0,15244,3,MRA
5,SF,SF - Zuckerberg,Hc Mri Upper Extremity Any Joint W&wo Cont Bilat,5434.05,5434.05,73223,397,0,15244,3,MRI
6,SF,SF - Zuckerberg,Hc Mri Arm Non Joint Wo Con.right,4898.55,4898.55,73218,397,0,15244,3,MRI
7,SF,SF - Zuckerberg,Hc Mra Leg Bilateral W/o Contrast,4856.05,4856.05,73725,397,0,15244,3,MRA
8,SF,SF - Zuckerberg,Hc Mri Abdomen W&wo/contrast,5446.8,5446.8,74183,397,0,15244,3,MRI
9,SF,SF - Zuckerberg,Hc Mri Breast Wo Contrast Bilateral,5979.75,5979.75,77047,397,0,15244,3,MRI
10,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt W&wo/cont Lt,5434.05,5434.05,73723,397,0,15244,3,MRI
11,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt Wo/cont Bilat,7284.5,7284.5,73721,397,0,15244,3,MRI
12,SF,SF - Zuckerberg,Hc Mra Lower Extremity Without Contrast Rt,4856.05,4856.05,73725,397,0,15244,3,MRA
13,SF,SF - Zuckerberg,Hc Dph Mri Temporomandibular Right,4856.05,4856.05,70336,397,0,15244,3,MRI
14,SF,SF - Zuckerberg,Hc Dph Mri Temporomandibular Left,4856.05,4856.05,70336,397,0,15244,3,MRI
15,SF,SF - Zuckerberg,Hc Mri Upper Extremity Any Joint W&wo Cont Right,5434.05,5434.05,73223,397,0,15244,3,MRI
16,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt W&wo/cont Rt,5434.05,5434.05,73723,397,0,15244,3,MRI
17,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt W&wo/cont Bilat,8151.5,8151.5,73723,397,0,15244,3,MRI
18,SF,SF - Zuckerberg,Hc Mri Leg Any Jnt Wo/cont Rt,4856.05,4856.05,73721,397,0,15244,3,MRI
19,SF,SF - Zuckerberg,Hc Mri Leg Rt Non Joint W&wo/cont,4856.05,4856.05,73720,397,0,15244,3,MRI
20,SF,SF - Zuckerberg,Hc Mri Upper Extremity Any Joint W&wo Cont Left,5434.05,5434.05,73223,397,0,15244,3,MRI
21,SF,SF - Zuckerberg,Hc Mra Arm Bilateral Wo Contrast,4856.05,4856.05,73225,397,0,15244,3,MRA
